# query_id num_block_accesses num_unique_blocks latency_us
0 1477 497 262132
1 1707 529 124711
2 1923 583 97148
3 1570 452 37548
4 1535 451 26545
5 1881 552 25886
6 1549 458 19308
7 1633 545 22744
8 1581 505 14710
9 1788 525 16237
10 1786 530 20280
11 1593 519 20055
12 1531 495 16989
13 1675 519 18877
14 1710 527 18340
15 2018 570 21659
16 1646 489 15894
17 2186 521 14483
18 1663 581 24742
19 1517 484 16562
20 1492 552 23629
21 2156 601 30392
22 2132 521 17575
23 1611 517 16617
24 2039 551 21207
25 1548 486 15704
26 1571 515 17023
27 1595 534 18731
28 1610 489 18132
29 1947 585 25019
30 1650 545 26196
31 1569 524 22421
32 1688 463 17176
33 2203 589 24188
34 1922 546 19962
35 1567 482 15732
36 2243 610 26815
37 2111 605 20621
38 1512 502 19468
39 1798 571 21707
40 1582 519 18171
41 1609 513 15340
42 1968 557 20846
43 1783 542 20968
44 1963 591 22963
45 1842 509 16217
46 1628 492 14628
47 1477 558 23265
48 1497 483 16279
49 1833 499 17793
50 1679 557 21681
51 2352 630 27945
52 1482 480 16126
53 1978 557 20791
54 1514 461 17824
55 1690 582 27463
56 1571 458 15491
57 1647 480 17180
58 1549 567 25370
59 1763 573 24579
60 1787 431 10778
61 1512 497 17329
62 1553 510 17983
63 1578 514 16728
64 1916 614 31192
65 1528 480 14472
66 1510 568 27137
67 1635 450 13649
68 1727 478 14248
69 1620 479 16141
70 1559 475 15837
71 1764 575 23164
72 1515 516 17087
73 1614 458 13580
74 1555 507 16590
75 2050 528 18951
76 1660 546 22864
77 1976 590 22466
78 1617 458 14997
79 1822 535 19281
80 1757 523 16147
81 1753 507 17546
82 1620 465 14552
83 1978 596 22855
84 1537 532 20344
85 1667 615 30672
86 1551 537 21562
87 1624 492 18121
88 1888 536 19826
89 1928 477 16117
90 1796 513 19078
91 2057 594 23785
92 1657 488 15302
93 1722 571 20992
94 1739 500 16666
95 1842 547 22775
96 1501 436 15459
97 1684 481 13789
98 1584 519 20774
99 1777 548 20773
100 1692 528 18781
101 1652 525 17862
102 1544 558 25443
103 1731 562 24948
104 1689 458 13850
105 1936 547 20992
106 1906 493 20270
107 1824 525 20618
108 1528 480 16122
109 1584 564 24329
110 1500 493 18983
111 1452 497 15546
112 1808 579 22400
113 2352 630 28820
114 1640 515 20526
115 1970 588 26463
116 1548 418 11297
117 1818 559 19739
118 1617 537 19311
119 1631 539 21047
120 1514 522 17880
121 1488 507 18822
122 1517 485 15473
123 1738 535 20937
124 1988 548 21469
125 2301 657 28854
126 1600 534 22985
127 1740 441 15721
128 1470 491 16497
129 1650 528 16935
130 1601 481 15184
131 1531 535 18240
132 1639 496 19424
133 1997 464 12419
134 1555 475 14076
135 1640 468 13185
136 1545 590 26060
137 1943 603 23618
138 1839 455 10859
139 1602 536 21705
140 1540 469 16685
141 1845 514 19272
142 1864 538 18560
143 1480 506 19344
144 1496 442 12999
145 1558 502 19521
146 1853 559 24061
147 2031 540 19758
148 1550 522 22472
149 2368 602 25252
150 1694 487 18180
151 2209 636 26586
152 2542 653 33240
153 1613 550 22700
154 2382 644 29159
155 1782 575 27087
156 1786 557 21741
157 2469 615 30221
158 1551 539 23532
159 1686 598 26868
160 1537 589 23732
161 1770 562 23656
162 1989 570 24997
